rec,k,target,tier,occl,flags,theta_unit,dist_m,reliable,ours_first,ours_obj,ours_cap,ours_share,ours_A,ours_any,ours_lcs,v1_first,v1_obj,v1_cap,v1_share,v1_A,v1_any,v1_lcs,ours_best_target_cap,v1_best_target_cap,ours_best_wrong_cap,v1_best_wrong_cap
2026_08_20/002,3,球R,<1.0°,occluded(beyond limit),beyond_occ,0.84,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_20/002,4,球M,<1.0°,occluded(beyond limit),beyond_occ,0.66,4.18,0,none,,,,,none,hit,none,,,,,none,miss,0.994,,,0.0
2026_08_20/002,5,球M,<1.0°,occluded(beyond limit),beyond_occ,0.66,4.18,0,none,,,,,none,miss,none,,,,,none,miss,0.994,,,0.0
2026_08_20/002,6,球L,<1.0°,occluded(beyond limit),beyond_occ,0.84,4.2,0,correct,球L,0.304,0.664,0.204,correct_only,hit,none,,,,,none,hit,0.693,0.0,,0.0
2026_08_20/002,7,球R,<1.0°,occluded(beyond limit),beyond_occ,0.84,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_20/002,8,球L,<1.0°,occluded(beyond limit),beyond_occ,0.84,4.26,0,none,,,,,none,hit,none,,,,,none,hit,1.161,0.0,,
2026_08_20/002,9,球L,<1.0°,occluded(beyond limit),beyond_occ,0.84,4.26,0,none,,,,,none,miss,none,,,,,none,miss,1.161,0.0,,
2026_08_20/002,10,球M,<1.0°,occluded(beyond limit),beyond_occ,0.66,4.26,0,none,,,,,none,hit,none,,,,,none,hit,0.334,0.0,,
2026_08_20/002,11,球L,<1.0°,occluded(beyond limit),beyond_occ,0.84,4.29,0,correct,球L,0.469,0.619,0.26,correct_only,hit,wrong,苹果粉,,0.381,,wrong_only,hit,1.188,0.0,,0.0
2026_08_20/002,12,球M,<1.0°,occluded(beyond limit),beyond_occ,0.66,4.35,0,none,,,,,none,hit,none,,,,,none,hit,0.706,,,0.0
2026_08_20/002,13,球R,<1.0°,occluded(beyond limit),beyond_occ,0.84,4.33,0,none,,,,,none,hit,none,,,,,none,miss,1.05,,,0.0
2026_08_20/002,14,球M,<1.0°,occluded(beyond limit),beyond_occ,0.66,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,hit,,,,
2026_08_20/002,15,球R,<1.0°,occluded(beyond limit),beyond_occ,0.84,4.22,0,none,,,,,none,hit,none,,,,,none,miss,0.315,,,0.0
2026_08_20/003,1,球L,<1.0°,occluded(beyond limit),beyond_occ,0.64,4.27,0,correct,球L,0.402,0.587,0.376,correct_only,hit,none,,,,,none,hit,0.575,0.0,,0.0
2026_08_20/003,2,球R,<1.0°,occluded(beyond limit),beyond_occ,0.63,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_20/003,3,球R,<1.0°,occluded(beyond limit),beyond_occ,0.63,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_20/003,4,球M,<1.0°,occluded(beyond limit),beyond_occ,0.63,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_20/003,5,球M,<1.0°,occluded(beyond limit),beyond_occ,0.63,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_20/003,6,球L,<1.0°,occluded(beyond limit),beyond_occ,0.64,4.36,0,correct,球L,0.235,0.358,0.549,correct_only,hit,none,,,,,none,hit,0.235,0.0,,
2026_08_20/003,7,球R,<1.0°,occluded(beyond limit),beyond_occ,0.63,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_20/003,8,球L,<1.0°,occluded(beyond limit),beyond_occ,0.64,4.34,0,none,,,,,none,hit,none,,,,,none,hit,0.195,0.0,,
2026_08_20/003,9,球L,<1.0°,occluded(beyond limit),beyond_occ,0.64,4.34,0,none,,,,,none,miss,none,,,,,none,miss,0.195,0.0,,
2026_08_20/003,10,球M,<1.0°,occluded(beyond limit),beyond_occ,0.63,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_20/003,11,球L,<1.0°,occluded(beyond limit),beyond_occ,0.64,4.36,0,none,,,,,none,hit,none,,,,,none,hit,0.332,0.0,,0.0
2026_08_20/003,12,球M,<1.0°,occluded(beyond limit),beyond_occ,0.63,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_20/003,13,球R,<1.0°,occluded(beyond limit),beyond_occ,0.63,4.39,0,none,,,,,none,hit,none,,,,,none,miss,0.199,,,0.0
2026_08_20/003,14,球M,<1.0°,occluded(beyond limit),beyond_occ,0.63,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_20/003,15,球R,<1.0°,occluded(beyond limit),beyond_occ,0.63,4.35,0,none,,,,,none,hit,none,,,,,none,miss,0.491,,,0.0
2026_08_25/c1_1,1,球L,<1.0°,occluded(beyond limit),beyond_occ,0.92,4.04,0,none,,,,,none,hit,correct,球L,,0.379,,correct_only,hit,0.007,0.0,,
2026_08_25/c1_1,2,球R,<1.0°,occluded(beyond limit),beyond_occ,0.9,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_25/c1_1,3,球R,<1.0°,occluded(beyond limit),beyond_occ,0.9,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_25/c1_1,4,球M,<1.0°,occluded(beyond limit),beyond_occ,0.68,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_25/c1_1,5,球M,<1.0°,occluded(beyond limit),beyond_occ,0.68,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_25/c1_1,6,球L,<1.0°,occluded(beyond limit),beyond_occ,0.92,4.12,0,none,,,,,none,hit,none,,,,,none,hit,0.001,0.0,,
2026_08_25/c1_1,7,球R,<1.0°,occluded(beyond limit),beyond_occ,0.9,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_25/c1_1,8,球L,<1.0°,occluded(beyond limit),beyond_occ,0.92,4.13,0,none,,,,,none,hit,none,,,,,none,hit,0.013,0.0,,
2026_08_25/c1_1,9,球L,<1.0°,occluded(beyond limit),beyond_occ,0.92,4.16,0,none,,,,,none,hit,none,,,,,none,hit,0.071,0.0,,
2026_08_25/c1_1,10,球M,<1.0°,occluded(beyond limit),beyond_occ,0.68,4.18,0,none,,,,,none,hit,none,,,,,none,miss,0.04,,,0.0
2026_08_25/c1_1,11,球L,<1.0°,occluded(beyond limit),beyond_occ,0.92,4.18,0,correct,球L,0.418,0.574,0.565,correct_only,hit,none,,,,,none,hit,0.418,0.0,,
2026_08_25/c1_1,12,球M,<1.0°,occluded(beyond limit),beyond_occ,0.68,4.2,0,none,,,,,none,hit,none,,,,,none,miss,0.675,,,0.0
2026_08_25/c1_1,13,球R,<1.0°,occluded(beyond limit),beyond_occ,0.9,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_25/c1_1,14,球M,<1.0°,occluded(beyond limit),beyond_occ,0.68,4.19,0,none,,,,,none,hit,none,,,,,none,miss,0.894,,,0.0
2026_08_25/c1_1,15,球R,<1.0°,occluded(beyond limit),beyond_occ,0.9,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_25/c1_2,1,球L,1.0–2.5°,clear,,1.04,4.23,1,none,,,,,none,hit,none,,,,,none,hit,0.072,0.0,,
2026_08_25/c1_2,2,球R,<1.0°,clear,,0.81,4.27,1,none,,,,,none,hit,none,,,,,none,hit,0.101,0.0,,
2026_08_25/c1_2,3,球R,<1.0°,clear,,0.81,4.29,1,correct,球R,0.39,0.578,0.451,correct_only,hit,none,,,,,none,hit,0.39,0.0,,
2026_08_25/c1_2,4,球M,<1.0°,clear,,0.65,4.25,1,correct,球M,0.49,0.415,0.631,correct_only,hit,none,,,,,none,miss,0.49,,,0.0
2026_08_25/c1_2,5,球M,<1.0°,clear,,0.65,4.25,1,none,,,,,none,hit,none,,,,,none,miss,0.926,,,0.0
2026_08_25/c1_2,6,球L,1.0–2.5°,clear,,1.04,4.24,1,correct,球L,0.874,0.45,0.379,correct_only,hit,none,,,,,none,hit,0.874,0.0,,
2026_08_25/c1_2,7,球R,<1.0°,clear,,0.81,4.26,1,none,,,,,none,hit,none,,,,,none,hit,0.718,0.0,,
2026_08_25/c1_2,8,球L,1.0–2.5°,clear,,1.04,4.26,1,none,,,,,none,hit,none,,,,,none,hit,0.109,0.0,,
2026_08_25/c1_2,9,球L,1.0–2.5°,clear,,1.04,4.26,1,none,,,,,none,hit,none,,,,,none,hit,0.181,,,0.0
2026_08_25/c1_2,10,球M,<1.0°,clear,,0.65,4.27,1,none,,,,,none,hit,none,,,,,none,hit,0.139,0.0,,
2026_08_25/c1_2,11,球L,1.0–2.5°,clear,,1.04,4.22,1,correct,球L,0.847,0.413,0.643,correct_only,hit,none,,,,,none,hit,0.847,0.0,,
2026_08_25/c1_2,12,球M,<1.0°,clear,,0.65,4.25,1,none,,,,,none,hit,none,,,,,none,hit,0.781,,,0.0
2026_08_25/c1_2,13,球R,<1.0°,clear,,0.81,4.26,1,correct,球R,0.452,0.54,0.549,correct_only,hit,none,,,,,none,hit,0.452,0.0,,
2026_08_25/c1_2,14,球M,<1.0°,clear,,0.65,4.26,1,correct,球M,0.541,0.391,0.704,correct_only,hit,none,,,,,none,hit,0.62,0.0,,
2026_08_25/c1_2,15,球R,<1.0°,clear,,0.81,4.26,1,correct,球R,0.242,0.604,0.405,correct_only,hit,none,,,,,none,miss,0.739,0.0,,0.0
2026_08_25/c1_3,1,球L,1.0–2.5°,clear,,1.19,3.72,0,correct,球L,0.592,0.606,0.4,correct_only,hit,correct,球L,,0.395,,correct_only,hit,0.604,0.0,,
2026_08_25/c1_3,2,球R,<1.0°,clear,,0.96,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,hit,,,,
2026_08_25/c1_3,3,球R,<1.0°,clear,,0.96,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_25/c1_3,4,球M,<1.0°,clear,,0.77,3.74,0,correct,球M,0.342,0.541,0.398,correct_only,hit,none,,,,,none,hit,1.146,0.0,,0.0
2026_08_25/c1_3,5,球M,<1.0°,clear,,0.77,3.74,0,correct,球M,0.342,0.541,0.398,correct_only,hit,none,,,,,none,miss,1.146,0.0,,0.0
2026_08_25/c1_3,6,球L,1.0–2.5°,clear,,1.19,3.73,0,none,,,,,none,hit,none,,,,,none,miss,0.983,0.0,,
2026_08_25/c1_3,7,球R,<1.0°,clear,,0.96,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,hit,,,,
2026_08_25/c1_3,8,球L,1.0–2.5°,clear,,1.19,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,hit,,,,
2026_08_25/c1_3,9,球L,1.0–2.5°,clear,,1.19,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,hit,,,,
2026_08_25/c1_3,10,球M,<1.0°,clear,,0.77,3.73,0,correct,球M,0.363,0.498,0.416,correct_only,hit,none,,,,,none,hit,0.363,0.0,,
2026_08_25/c1_3,11,球L,1.0–2.5°,clear,,1.19,3.71,0,correct,球L,0.938,0.478,0.512,correct_only,hit,none,,,,,none,hit,0.938,0.0,,
2026_08_25/c1_3,12,球M,<1.0°,clear,,0.77,,0,unknown,,,,,unknown,miss,unknown,,,,,unknown,miss,,,,
2026_08_25/c1_3,13,球R,<1.0°,clear,,0.96,3.73,0,correct,球R,0.991,0.466,0.628,correct_only,hit,none,,,,,none,hit,0.991,0.0,,
2026_08_25/c1_3,14,球M,<1.0°,clear,,0.77,3.72,0,none,,,,,none,hit,none,,,,,none,hit,1.262,,,0.0
2026_08_25/c1_3,15,球R,<1.0°,clear,,0.96,3.72,0,none,,,,,none,hit,none,,,,,none,miss,1.122,,,0.0
2026_08_25/u3,1,球L,1.0–2.5°,clear,walking,1.36,2.8,1,correct,球L,0.307,0.787,0.121,correct_only,hit,correct,球L,,0.469,,correct_only,hit,0.307,0.0,,
2026_08_25/u3,2,球M,1.0–2.5°,clear,walking,1.44,2.82,1,wrong,球L,0.69,0.881,0.023,mixed,hit,wrong,球L,,0.465,,mixed,hit,0.312,0.0,0.69,0.0
2026_08_25/u3,3,球R,1.0–2.5°,clear,walking,1.75,2.27,1,none,,,,,none,hit,wrong,球M,,0.389,,mixed,hit,0.049,0.0,0.133,0.0
2026_08_25/u3,4,球M,1.0–2.5°,clear,walking,1.44,2.84,1,none,,,,,none,miss,correct,球M,,0.572,,correct_only,hit,0.168,0.0,0.008,
2026_08_25/u3,5,球R,1.0–2.5°,clear,walking,1.75,2.54,1,none,,,,,none,hit,correct,球R,,0.391,,correct_only,hit,0.248,0.0,,0.0
2026_08_25/u3,6,球L,1.0–2.5°,clear,walking,1.36,2.92,1,correct,球L,0.235,0.749,0.179,correct_only,hit,correct,球L,,0.673,,correct_only,hit,0.235,0.0,,0.0
2026_08_25/u3,7,球M,1.0–2.5°,clear,walking,1.44,2.63,1,correct,球M,1.16,0.504,0.142,mixed,hit,correct,球M,,0.556,,correct_only,hit,1.16,0.0,0.487,0.0
2026_08_25/u3,8,球R,1.0–2.5°,clear,walking,1.75,2.49,1,correct,球R,0.291,0.757,0.096,correct_only,hit,wrong,球M,,0.379,,mixed,hit,0.515,0.0,0.108,0.0
2026_08_25/u3,9,球L,1.0–2.5°,clear,walking,1.36,2.71,1,wrong,球M,0.487,0.739,0.076,mixed,hit,wrong,苹果粉,,0.434,,mixed,hit,0.809,0.0,0.487,0.0
2026_08_25/u3,10,球R,1.0–2.5°,clear,walking,1.75,2.6,1,correct,球R,0.474,0.828,0.036,correct_only,hit,correct,球R,,0.529,,mixed,hit,0.474,0.0,0.0,0.0
2026_08_25/u3,11,球L,1.0–2.5°,clear,walking,1.36,2.48,1,correct,球L,0.484,0.971,0.01,correct_only,hit,correct,球L,,0.756,,correct_only,hit,0.612,0.0,,
2026_08_25/u3,12,球M,1.0–2.5°,clear,walking,1.44,2.46,1,correct,球M,0.708,0.397,0.335,correct_only,hit,correct,球M,,0.547,,correct_only,hit,0.71,0.0,,0.0
2026_08_25/u3,13,球R,1.0–2.5°,clear,walking,1.75,2.71,1,correct,球R,0.58,0.782,0.09,mixed,miss,correct,球R,,0.495,,mixed,miss,0.58,0.0,0.812,0.0
2026_08_25/u3,14,球L,1.0–2.5°,clear,walking,1.36,3.1,1,correct,球L,0.356,0.857,0.067,correct_only,hit,wrong,苹果粉,,0.514,,mixed,hit,0.356,0.0,,0.0
2026_08_25/u3,15,球M,1.0–2.5°,clear,walking,1.44,1.97,1,correct,球M,0.968,0.614,0.106,correct_only,hit,correct,球M,,0.539,,correct_only,hit,0.968,0.0,,
